Title,Date,Rating,Genres,Budget,WorldwideGross,Description,Keywords,Runtime,Revenue-Budget-Ratio
Flicka,2006,PG,Adventure Drama Family ,15000000,21893591,"Coming-of-age story set in the mountain vistas, A headstrong 16-year-old Katy McLaughlin desires to work on her family's mountainside horse ranch, although her father insists she finish boarding school. Katy finds a mustang in the hills near her ranch. Katy then sets her mind to tame a mustang and prove to her father she can run the ranch. But when tragedy happens, it will take all the love and strength the family can muster to restore hope.",falling off a horse horseback riding friendship downpour injured animal 44 more ,113,1.459572733
One Night with the King,2006,PG,Biography Drama History ,20000000,13728450,"The young Jewish girl, Hadassah, goes on to become the Biblical Esther, the Queen of Persia, who saves the Jewish nation from annihilation at the hands of its archenemy.",biblical persia esther book of esther treachery 48 more ,123,0.6864225
Dnevnoy dozor,2006,R,Action Fantasy Horror Thriller ,4200000,42918532,"Anton belongs to the Forces of the Light as do his powerful girlfriend and apprentice, but his son is a powerful teenager from the Darkness and Anton protects him. When the balance between Light and Darkness is affected by the death of some evil vampires, Anton is framed and accused of the murders, and he chases an ancient chalk that has the power of changing the destiny of its owner.",year 2006 2000s year 1992 1990s moscow 194 more ,141,10.2186981
How to Eat Fried Worms,2006,PG,Comedy Family ,26000000,13098996,"The Forrester family - father Mitch Forrester, mother Helen Forrester, their pre-teen son Billy Forrester and their pre-school son Woody Forrester - have just moved to a new town where Mitch is starting a new job. Both Mitch and Billy are worried about fitting into their new environment. It's worse for Billy as Woody, who is not worried about the move, is at that stage in his life where everything is simple and easy. Billy's first day in the fifth grade at his new school does not go well when he gets into an altercation with the class bullies, led by Joe Guire. The altercation involves worms and Billy stating that he eats worms all the time, which leads to all the bullies calling him ""Wormboy"". As such, Joe bets Billy that he can't eat ten worms (without vomiting), the bet to take place this upcoming Saturday, with the last worm to be consumed by 7pm. Despite having a notoriously weak stomach, Billy takes him up on the bet. As the bet starts, the only classmate on Billy's side is Erika Tansy, a girl with a mind of her own. All the other boys follow Joe if only out of fear, especially as legend has it that the ring that Joe wears contains poison which will lead to a slow death if injected. The boys get into one misadventure after another as they try to find different places and increasingly disgusting ways to cook the worms before Billy consumes them. But by the end of the day, they all learn that there is strength in numbers in dealing with fear.",slimehouse worm bet boy bully 11 more ,62,0.503807538
The Celestine Prophecy,2006,PG,Adventure Drama ,10000000,1127463,"Disillusioned and temporarily rudderless, John Woodson is about to experience a dramatic and profound metamorphosis. Through a mysterious set of coincidences, he finds himself on an adventure to Peru in search of ancient scrolls, known as the Celestine Prophecy. The prophecy and its nine key insights, predict a new awakening that redefines human life and provides a glimpse into a completely spiritual culture on earth. Resistant at first, skeptical and unsure, John finds that each step he takes, each person he encounters leads him to a new awakening. It is only in this letting go that he finds his destiny and comes to understand the meaning that had escaped him when his adventure began.",1620s 17th century search prophecy scroll 45 more ,153,0.1127463
Boy Culture,2006,Unrated,Drama Romance ,500000,269589,"A successful male escort describes in a series of confessions his tangled romantic relationships with his two roommates and an older, enigmatic male client.",older man younger man relationship roommate confession flashback self loathing 45 more ,142,0.539178
Thr3e,2006,PG-13,Horror Mystery Thriller ,2400000,1420418,Innocent lives hang on the whim of an elusive psychopathic murderer whose strange riddles and impossible timelines force three people into a mission to end the game before one or all of them die.,female police officer ptsd post traumatic stress disorder riddle number stalking 106 more ,74,0.591840833
Love's Abiding Joy,2006,PG,Drama Family Western ,3000000,252726,"Willie and Missie LaHaye continue their westward journey. Their roots now firmly planted as they set up homestead in the far West, Missie realizes her passion for teaching as Willie cares for the couple's young daughter Kathy while expanding the family ranch with help from sons Jeff and Matthew. When the frontier railroad comes to town, the pleasure of a long-promised visit from Missie's father Clark is suddenly offset by young Kathy's tragic death. As the untimely demise of their beloved daughter begins to drive an emotional wedge between Missie and Willie, the devastated father unexpectedly accepts an offer made by the powerful Samuel Doros to assume the role of town sheriff. Their faith shaken and their once close-knit bond suddenly torn asunder, Missie and Willie desperately attempt to bring their crumbling family back together as son Jeff faces a series of dangers while hopelessly falling for Doros' beautiful daughter Colette.",frame up death of baby cattle ranch schoolteacher character's father visits 30 more ,132,0.084242
O Cheiro do Ralo,2006,Not Rated,Comedy Drama ,300000,786460,"A pawn shop proprietor buys used goods from desperate locals--as much to play perverse power games as for his own livelihood, but when the perfect rump and a backed-up toilet enter his life, he loses all control.",toilet pawnshop glass eye bare butt shot in the chest 13 more ,85,2.621533333
Wolfhound,2006,R,Action Adventure Fantasy ,20000000,21573338,"He was doomed to die, but managed to survive, and now his mission is to revenge for the annihilation of his tribe. He is the great warrior who calls himself Volkodav, and is the last man from the tribe of Serie Psi (Grey Hounds). After escaping certain death, Volkodav (accompanied by Neletuchaya Mysh) is on a mission to kill Ludoed who is responsible to what happened to Serie Psi.",tribe warrior revenge sword and sorcery sword and fantasy 36 more ,181,1.0786669
Valley of Flowers,2006,UNKNOWN,Adventure Drama Fantasy Romance ,6000000,130742,"Along the highest mountain passes of the Himalayas, tough, intrepid Jalan (Milind Soman) and his gang earn their living by stealing from unsuspecting travelers. Abiding by their own, unique codes of honor and dividing the spoils equally, all is routine until the arrival of the mystifying, beautiful Ushna (Mylene Jampanoi). Appearing mysteriously after the raid of a pilgrim caravan, Ushna adheres to Jalan, claiming to have seen him in her dreams, and refusing to leave his side. Sensing the unease of the rest of the men, Ushna offers to help them in their endeavors, under condition that they not ask why or how she is able to guide them to success. In the time that follows, Ushna leads the gang to tremendous exploits, gaining the respect of the men, and the admiration of Jalan, who begins to fall passionately in love with this mysterious woman. As their success increases, seemingly unstoppable, so the love between Jalan and Ushna mounts in intensity, until they seem to have entered a world of their own. No longer heeding of the world around them, Jalan and Ushna venture too far in their exploits, progressing from the theft of material objects to tampering with elements that should never be tampered with; stealing energy, luck and even the powers of levitation, the two cross over into the bounds of the supernatural. Word of the duo and their strange exploits reaches the shrewd, robust Yeti (Naseeruddin Shah), who takes after them with his three experienced bounty hunters. In the confusion of pursuit, Jalan and Ushna face a temporary separation, the shock of which drives each to desperation. Having lost luck, wealth and friends, the fated two are nevertheless fortuitously reunited. Their passion running higher than ever, they vow never to be separated again, even if this entails deceiving fate and cheating mortality. But life always reserves surprises.",reincarnation immortality love yeti levitation 11 more ,173,0.021790333
46-okunen no koi,2006,Unrated,Drama Fantasy ,10000000,1520,"An unknown future. A boy confesses to the murder of another in an all-boy juvenile detention facility. More an exercise in style than storytelling, the story follows two detectives trying to uncover the case. Homosexual tension and explosive violence drives the story which delivers some weird and fascinating visuals.",murder violence avant garde film bare chested male surrealism 20 more ,112,0.000152
Opal Dream,2006,PG,Drama Family ,11400000,144964,"A young Australian girl living in a small rural mining town prefers the company of her two imaginary friends, Pobby and Dingan, to real children. She ends up looking awkward during social gatherings and her only tangible friend is her older brother, Ashmol, who finds Pobby and Dingan annoying and often makes fun of them because he's embarrassed by his sister's behavior. Kelly-Anne's and Ashmol's father is an opal miner trying to earn a living, and their mother is busy trying to fit in as a member of the community. Both parents agree that it's time for Kelly-Ann to move on and leave her fantasy world behind - but when they force her to grow up too fast with a hasty decision, Pobby and Dingan are killed and Kelly-Ann falls into a grief-stricken illness. The only one who can set things right is Ashmol.",friend town girl imaginary friend illness 104 more ,122,0.01271614
The Work and the Glory III: A House Divided,2006,PG,Drama Western ,6500000,1325092,"Joshua Steed returns to Missouri a wealthy man with a beautiful wife; however, the past has a way of catching up. Soon Joshua is tangled in a web of rumors, deception and betrayal that threatens to tear his family apart. Back in Kirtland, financial trouble riddles the foundations of the fledgling Church causing a division, and questioning of the Prophet Joseph Smith's divine calling. Has he lost his prophetic gift? Hundreds of Saints immigrate to Missouri, where Governor Boggs raises an army - with Joshua at its head - to address the ""Mormon Problem."" When the militia receives orders to attack the Mormon settlement, only Joshua can save his family from the gathering mob.",joseph smith character missouri mormon governor militia 37 more ,152,0.203860308
A Sunday in Kigali,2006,UNKNOWN,Drama ,7000000,1609,"In April 1994, the middle-aged Canadian journalist Bernard Valcourt is making a documentary in Kigali about AIDS. He secretly falls in love for the Tutsi waitress of his hotel Gentille, who is younger than him, in a period of violent racial conflicts. When the genocide of the Tutsis by the Hutus in Rwanda begins, Bernard does not succeed in escaping with Gentille to Canada. When the genocide finishes in July 1994, Bernard returns to the chaotic Kigali seeking out Gentille in the middle of destruction and dead bodies.",africa young woman hotel des milles collines kigali rwanda rwandan genocide falling in love 8 more ,145,0.000229857
The Treatment,2006,Not Rated,Comedy Drama Romance ,900000,83354,"Jake Singer is at loose ends in New York City, and neck deep in psychoanalysis with the outrageous Dr. Morales, when he meets the enigmatic and beautiful widow Allegra Marshall.",downward spiral reference to john milton reference to cicero reference to aristotle based on novel ,122,0.092615556
The Strange Case of Dr. Jekyll and Mr. Hyde,2006,R,Horror Sci-Fi ,750000,79226,"Tony Todd (Clive Barker's Candyman, Final Destination 2) is Dr. Henry Jekyll in this blood-drenched, modern adaptation of the macabre classic. Part crime thriller, part psychological horror, The Strange Case of Dr. Jekyll And Mr. Hyde takes Robert Louis Stevenson's sinister story to chilling new depths as Mr. Hyde leaves a grisly trail while terrorizing local college co-eds. With the police bearing down on him, Mr. Hyde attacks Henry's fiancee in the demented denouement of this twisted tale that must be seen to be believed!",psychotronic film robert louis stevenson paranoid schizophrenia based on novel character name in title ,152,0.105634667
Hakase no aishita sûshiki,2006,UNKNOWN,Drama Family Romance ,5000000,8299771,"The story of a single mother housekeeper and a mathematics professor, who has a brain damage.",japanese woman memory loss forgetfulness memory mathematician 1 more ,135,1.6599542
Disappearances,2006,PG-13,Action Adventure Drama ,1500000,7506,"In 1932 in Kingdom County, Vermont, a fire destroys much of the family's hay. They can't feed all their cattle and they can't get more hay, so they have to sell some of their cattle. Quebec Bill used to run whiskey, and that may be the only way to make money. Quebec Bill's father disappeared, according to Aunt Cordelia, as did many who ran whiskey. Quebec Bill came back to Vermont because of his father after working on ranches and as a lumberjack in Montana. Quebec Bill's brother-in-law Henry has run whiskey before, but he's reluctant to now. Wild Bill wants to go along but his mother Evangeline? has to be persuaded. Rat, who helps run the farm, also goes along but isn't sure he wants to. The group crosses the border into Canada, where whiskey is legal. Two monks see nothing wrong with helping out and they agree to store what the guys get. But the guys have no money. They have to steal from the family that sells most of the whiskey, and violence becomes necessary. Wild Bill doesn't want to kill, but he has to. He is occasionally visited by his Aunt Cordelia, who appears and disappears mysteriously.",whiskey murder death urination uncle nephew relationship 122 more ,145,0.005004
Aziris nuna,2006,UNKNOWN,Adventure Family Sci-Fi ,3500000,138490,,based on novel ,73,0.039568571
Tin sang yat dui,2006,Not Rated,Comedy Drama ,15000000,1312395,"A regular white-collar woman named Bing, who leads a carefree city life that includes guarding her turf in the office and dating and gossiping with her three girlfriends. However, her carefree life soon turns upside down when she found a lump in her breast. Everything begins to fall apart as she tries to cope with the loss of femininity in a series of bittersweet events. With the help of a happy-go-lucky doctor V and a shy but talented teenager Sing, Bing begins to find new meanings in her turmoil and the will to face her own demons.",breast cancer doctor f rated drunkenness cell phone 41 more ,143,0.087493
Harry Potter and the Goblet of Fire,2005,PG-13,Adventure Family Fantasy Mystery ,150000000,896678241,"Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly difficult tasks.",tournament wizard magic school of magic heroism 461 more ,193,5.97785494
Pride &amp; Prejudice,2005,PG,Drama Romance ,28000000,121616555,"The story is based on Jane Austen's novel about five sisters - Jane (Rosamund Pike), Elizabeth (Keira Knightley), Mary (Talulah Riley), Kitty (Carey Mulligan), and Lydia Bennet (Jena Malone) - in Georgian England. Their lives are turned upside down when wealthy young Mr. Bingley (Simon Woods) and his best friend, Mr. Darcy (Matthew Macfadyen), arrive in their neighborhood.",pride and prejudice england gentleman bachelor prejudice 75 more ,129,4.343448393
Charlie and the Chocolate Factory,2005,PG,Adventure Comedy Family Fantasy Musical ,150000000,474968763,"When Willy Wonka decides to let five children into his chocolate factory, he decides to release five golden tickets in five separate chocolate bars, causing complete mayhem. The tickets start to be found, with the fifth going to a very special boy, called Charlie Bucket. With his Grandpa, Charlie joins the rest of the children to experience the most amazing factory ever. But not everything goes to plan within the factory.",caterpillar cannibalism psychotherapy chocolate factory psychiatrist 525 more ,115,3.16645842
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,Adventure Family Fantasy ,180000000,745013115,"Four children from the same family have to leave their town because of the bombings of WWII. A woman and a professor take the children to their house. While playing a game of hide-and-seek, the youngest member of the family, Lucy, finds a wardrobe to hide in. She travels back and back into the wardrobe and finds a place named Narnia. After going in twice, the four children go in together for the last time. They battle wolves, meet talking animals, encounter an evil white witch and meet a magnificent lion named Aslan. Will this be the end of their journey to Narnia or will they stay?",sister sister relationship based on novel witch santa claus character the white witch character 210 more ,152,4.13896175
The Amityville Horror,2005,R,Horror ,19000000,107516369,"In December 1975, George and Kathy Lutz along with their three children move into an elegant Long Island house. What they don't know is that the house was the site of a horrific mass murder a year before. They decide to keep the house and attempt to keep the horror in the past, but are now haunted by a murderous presence. This is until, George starts to behave weirdly and their daughter, Chelsea starts to see people. What follows is 28 days of sheer, unbridled terror for the family with demonic visions of the dead. Based on the true story of George and Kathy Lutz, The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened.",murder basement haunted house priest paranoia 118 more ,63,5.658756263
War of the Worlds,2005,PG-13,Action Adventure Sci-Fi ,132000000,603873119,"An ordinary man has to protect his children against alien invaders in this science fiction action film freely adapted from the classic story by H.G. Wells. Ray Ferrier (Tom Cruise) is a dockworker living in New Jersey, divorced from his first wife Mary Ann (Miranda Otto) and estranged from his two children Rachel and Robbie (Dakota Fanning and Justin Chatwin), of whom he has custody on weekends. On one such visitation, looking after the kids becomes a little more difficult when, after a series of strange lighting storms hit his neighborhood, Ray discovers that a fleet of death-ray robotic spaceships have emerged nearby, part of the first wave of an all-out alien invasion of the Earth. Transporting his children from New York to Boston in an attempt to find safety at Mary Ann's parents' house, Ray must learn to become the protector and provider he never was in marriage.",alien survival underground mass death escape 286 more ,125,4.574796356
Lie with Me,2005,Not Rated,Drama Romance ,2200000,172087,"In Toronto, the nymphomaniac Leila spends the nights dancing and having sex with men to satisfy her sex drive. Leila learns that her parents are divorcing and she is affected by their decision. When Leila meets David, she has a torrid affair with him. David is an artist that lives with his father, who is very dependent on David. Leila and David have a complicated relationship since he is a possessive man that demands commitment but Leila does not know how to love a man and has the need of different partners in her sex life.",anal sex erotica labia sex scene female masturbation 55 more ,93,0.078221364
The Hitchhiker's Guide to the Galaxy,2005,PG,Adventure Comedy Sci-Fi ,50000000,104478416,"Everyone has bad mornings. You wake up late, you stub your toe, you burn the toast, but for a man named Arthur Dent, this goes far beyond a bad day. When he learns that a friend of his is actually an alien with advanced knowledge of Earth's impending destruction, he is transported off the Earth seconds before it is blown up to make way for a new hyperspace motorway. And as if that's not enough, throw in being wanted by the Police, Earth II, an insane electronic encyclopedia, no tea whatsoever, a chronically depressed robot and the search for the meaning of life, and you've got the greatest adventure off Earth.",hyperspace robot cow norway male alien 183 more ,154,2.08956832
Memoirs of a Geisha,2005,PG-13,Drama Romance ,85000000,162242962,"In the 1920s, 9-year-old Chiyo gets sold to a geisha house. There, she is forced into servitude, receiving nothing in return until the house's ruling hierarchy determines if she is of high enough quality to service the clientele -- men who visit and pay for conversation, dance and song. After rigorous years of training, Chiyo becomes Sayuri, a geisha of incredible beauty and influence. Life is good for Sayuri, but World War II is about to disrupt the peace.",geisha japan female protagonist period drama jealousy 57 more ,172,1.908740729
Kiss Kiss Bang Bang,2005,R,Comedy Crime Mystery Thriller ,15000000,15785148,A petty thief posing as an actor is brought to Los Angeles for an unlikely audition and finds himself in the middle of a murder investigation along with his high school dream girl and a detective who's been training him for his upcoming role...,kidnapping neo noir actor thief mental hospital 357 more ,94,1.0523432
Nanny McPhee,2005,PG,Comedy Family Fantasy ,25000000,123276807,"1860s Victorian England. Sadly, the widowed undertaker, Cedric Brown, has a lot on his plate. As the desperate father works his fingers to the bone to provide for his seven unruly children, in the meantime, they have managed to drive out not one but seventeen nannies with their elaborate practical jokes and bad behaviour. Then, on a stormy night, the hideous government nanny extraordinaire, Nanny McPhee, sets foot in Cedric's household, bent on transforming the children's manners and the house. Will a dash of magic do the trick?",nanny widower magic family relationships 1800s 120 more ,133,4.93107228
Thank You for Smoking,2005,R,Comedy Drama ,6500000,39323027,"The chief spokesperson and lobbyist Nick Naylor is the Vice President of the Academy of Tobacco Studies. He is talented in speaking and spins arguments to defend the cigarette industry in the most difficult situations. His best friends are Polly Bailey that works in the Moderation Council in alcohol business, and Bobby Jay Bliss of the gun business own advisory group SAFETY. They frequently meet each other in a bar and they self-title the M.O.D. Squad, a.k.a. Merchants of Death, disputing which industry has killed more people. Nick's greatest enemy is Vermont's Senator Ortolan Finistirre, who defends in the Senate the use of a skull and crossbones on cigarette packs. Nick's son Joey Naylor lives with his mother, and has the chance to know his father in a business trip. When the ambitious reporter Heather Holloway betrays Nick disclosing confidences he had in bed with her, his life turns upside-down. But Nick is good in what he does for the mortgage.",lobbyist tobacco industry black comedy tobacco lobby cigarette smoking 321 more ,83,6.049696462
The Constant Gardener,2005,R,Drama Mystery Romance Thriller ,25000000,82468097,"In a remote area of Northern Kenya, activist Tessa Quayle is found brutally murdered. Tessa's companion, a doctor, appears to have fled the scene, and the evidence points to a crime of passion. Members of the British High Commission in Nairobi assume that Tessa's widower, their mild-mannered and unambitious colleague Justin Quayle, will leave the matter to them. They could not be more wrong. Haunted by remorse and jarred by rumors of his late wife's infidelities, Quayle surprises everyone by embarking on a personal odyssey that will take him across three continents. Using his privileged access to diplomatic secrets, he will risk his own life, stopping at nothing to uncover and expose the truth - a conspiracy more far-reaching and deadly than Quayle could ever have imagined.",conspiracy government corruption murder investigation pharmaceuticals 228 more ,129,3.29872388
Dark Water,2005,PG-13,Drama Horror Mystery ,30000000,68357079,"Dahlia Williams and her daughter Cecelia move into a rundown apartment on New York's Roosevelt Island. She is currently in the midst of divorce proceedings and the apartment, though near an excellent school for her daughter, is all she can afford. From the time she arrives, there are mysterious occurrences and there is a constant drip from the ceiling in the only bedroom. There are also noises coming from the apartment directly above hers, though it would appear to be vacant. Is the apartment haunted or is there a simpler explanation?",cult film supernatural horror female protagonist grindhouse film dead body in a water tank 116 more ,114,2.2785693
The Sisterhood of the Traveling Pants,2005,PG,Comedy Drama Romance ,25000000,42013878,"The movie is based on the young adult book, The Sisterhood of the Traveling Pants, by Anne Brashares. As four best friends spend their first summer apart from one another, they share a magical pair of jeans. Despite being of various shapes and sizes, each one of them fits perfectly into the pants. To keep in touch they pass these pants to each other as well as the adventures they are going through while apart.",friendship pantyhose vacation sisterhood female friendship 148 more ,155,1.68055512
The Interpreter,2005,PG-13,Crime Mystery Thriller ,80000000,162944923,"Escalating events begin when U.N. interpreter Silvia Broome alleges that she has overheard a death threat against an African head of state, spoken in a rare dialect few people other than Silvia can understand. With the words ""The Teacher will never leave this room alive,"" in an instant, Silvia's life is turned upside down as she becomes a hunted target of the killers. Placed under the protection of federal agent Tobin Keller, Silvia's world only grows more nightmarish. As Keller digs deeper into his eyewitnesses' past and her secretive world of global connections, the more suspicious he becomes that she herself might be involved in the conspiracy. With every step of the way, he finds more reasons to mistrust her. Is Sylvia a victim? A suspect? Or something else entirely? And can Tobin, coping with his own personal heartache, keep her safe? Though they must depend on one another, Silvia and Tobin couldn't be more different. Silvia's strengths are words, diplomacy and the subtleties of meaning, while Tobin is all about instinct, action and reading into the most primal human behaviors. Now, as the danger of a major assassination on U.S. soil grows and Silvia's life hangs in the balance, Silvia and Tobin play out a gripping dance of evasion and revelation that keeps them both guessing as they race to stop a terrifying international crisis before it's too late.",driving assassination interpreter threat intrigue 260 more ,128,2.036811538
The Ring Two,2005,PG-13,Horror Mystery ,50000000,163995949,"A high school student named Jake tries to make his girlfriend Emily watch a cursed tape. But then Jake finds out that Emily covered her eyes and didn't watch the tape, and then Jake is killed by Samara Morgan (from the first The Ring movie). Rachel Keller learns of Jake's death and finds his twisted body in the back of an ambulance. Rachel then realizes she once again has to save her son Aidan from Samara the evil ghost child.",close up of eye close up of eyes close up of mouth female protagonist supernatural horror 56 more ,65,3.27991898
Sahara,2005,PG-13,Action Adventure Comedy ,130000000,119240351,"Retired US admiral Sandecker's foundation finances various projects worldwide, including high tech marine salvage by brilliant Dirk Pitt's US Navy Seal veterans team including buddy Al Giordino, which dreams of finding the mysteriously missing Confederal gold aboard the ironclad battleship 'of Death'. Pitts bumps into evidence for his theory it crossed the Atlantic up the river Niger, where the admiral has an environmental project. Alas, it's a West African dictatorship where the ruthless president suppresses the desert people, in league with billionaire French energy industrialist Yves Massarde. Saving reckless WHO epidemics researcher Dr. Eva Rojas, he learns the secret abducted tribal slaves-run waste plant's toxic output threatens, through an underground fluvial system, to pollute the ocean and hence cause a global killer epidemic.",beach evil man good versus evil bare chested male disguise 143 more ,124,0.917233469
"Yours, Mine &amp; Ours",2005,PG,Comedy Family Fantasy Romance ,45000000,72662923,"Admiral Frank Beardsley returns to New London to run the Coast Guard Academy, his last stop before a probable promotion to head the Guard. A widower with eight children, he runs a loving but tight ship, with charts and salutes. The kids long for a permanent home. Helen North is a free spirit, a designer whose ten children live in loving chaos, with occasional group hugs. Helen and Frank, high school sweethearts, reconnect at a reunion, and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids, the free spirits and the disciplined preppies, must live together. The warring factions agree to work together to end the marriage.",blended family family relationships stepfamily large family marriage 79 more ,142,1.614731622
Cheaper by the Dozen 2,2005,PG,Adventure Comedy Family ,60000000,130154568,"The Bakers, while on vacation, find themselves competing with a rival family of eight children.",twin romeo and juliet romance vacation rival competition 273 more ,103,2.1692428
Just Like Heaven,2005,PG-13,Comedy Drama Fantasy Romance ,58000000,102854431,"Elizabeth Masterson, a dedicated doctor in San Francisco, had almost no time for anything. When she gets into a tragic car crash and goes into a coma, a landscape architect moves into Elizabeth's apartment for rent - where he meets her amnesiac ethereal form.",heaven apartment female ghost out of body experience neo screwball comedy 104 more ,113,1.773352259
Be Cool,2005,PG-13,Comedy Crime Music ,53000000,95763716,"Streetwise mobster-turned-movie producer Chili Palmer is back, but this time Chili has abandoned the fickle movie industry and veered into the music business, tangling with Russian mobsters and gangsta rappers and taking a talented, feisty young singer named Linda Moon under his wing. From the recording studio to an Aerosmith concert to the MTV Music Awards, he manipulates events to watch them play out the Chili way, using his signature blend of wiseguy skills and negotiation tactics. It's a dangerous business, and everyone's looking for their next big hit.",satire satirical singing girl singer sexy girl 90 more ,145,1.806862566
Fun with Dick and Jane,2005,PG-13,Comedy Crime ,100000000,204681899,"And just like that, Globodyne Corporation--the big media institution where the affluent suburbanite and the company's Vice President, Dick Harper, works--collapses in a grand scandal, Enron-style. To make matters worse, in the worst possible time, Dick's stressed-out travel agent wife, Jane, decides to quit her job--and if this isn't enough--their savings are gone, and nothing can stop Dick and Jane's downward spiral. Now, after a series of failed attempts to keep a job, the desperate and impoverished couple has only one method to stay afloat: to summon up the nerve and steal their way out of misery. However, are Dick and Jane cut out for a life of crime?",head shop character names in title forenames in title ceo suburb 24 more ,63,2.04681899
Hostage,2005,R,Action Crime Drama Thriller ,52000000,77663556,"Jeff Talley, a former LAPD hostage negotiator, has moved himself away from his failed career outside of Los Angeles, and away from his wife and daughter when three perpetrators move in on an unsuspecting family. But the family's father has a secret which might compromise his kin, and one of the criminals is about to jump over the edge. Jeff Talley has to get everybody to survive the night......if he can.",child gagged tape over mouth hostage police hostage negotiator 135 more ,95,1.493529923
Fever Pitch,2005,PG-13,Comedy Drama Romance Sport ,30000000,50605163,"When relaxed and charming Ben Wrightman meets workaholic Lindsey Meeks she finds him sweet and charming, they hit it off and when it is winter Ben can spend every waking hour with Lindsey, but when summer comes around the corner Lindsey discovers Ben's obsession with the Boston Red Sox. She thinks it is perfect until everything goes downhill for them.",mri boston red sox baltimore orioles world series ups 70 more ,104,1.686838767
Because of Winn-Dixie,2005,PG,Comedy Drama Family ,14000000,33589427,"A girl named Opal move to a new home that is a trailer park. She has no friends and her dad is always doing something.Her dad told her to go to Winn Dixie to get some food. When she get there, something is going on. People were chasing something, then she see a dog. The dog was happy, he jumped on the manager, and the manager told his workers to call the pound. Opal did not want the dog to go to the pound, so she said the doog was hers. She named the dog Winn Dixie, the place where she found him. She goes home to ask her dad can she keep the dog. Opal dad lets her keep the dog she make a lot more friends that summer. She almost lost Winn Dixie in a thunderstorm at a party. Opal and Winn Dixie make friends with the kids at her church and old people smart and wise. Opal learns a lesson that you can't hold on to people who does not want to be held on to.",girl dog supermarket small town dog movie 122 more ,124,2.399244786
Oliver Twist,2005,PG-13,Crime Drama ,60000000,42580321,"In the Nineteenth Century, orphan Oliver Twist is sent from the orphanage to a workhouse, where the children are mistreated and barely fed. He moves to the house of an undertaker, but after an unfair severe spank, he starts a seven day runaway to London. He arrives exhausted and starving, and is soon welcomed in a gang of pickpockets lead by the old crook Fagin. When he is mistakenly taken as a thief, the wealthy victim Mr. Brownlow brings Oliver to his home and shelters him. But Fagin and the dangerous Bill Sykes decide to kidnap Oliver to burglarize Mr. Brownlow's fancy house.",character name as title oliver twist character artful dodger character fagin character bill sykes character 63 more ,121,0.709672017
Where the Truth Lies,2005,Unrated,Crime Drama Mystery Thriller ,25000000,3487678,"Karen O'Connor tells the story about two distinct but related periods in her life. In 1972, she is an up-and-coming Los Angeles based journalist who has been given the lucrative assignment of convincing once successful comic Vince Collins, who is at the tail end of his career, to allow her to ghost write his memoirs. Most specifically, she has the task from her publishers of discovering the reason behind two issues in Vince's life from 1957: why he and his former on-stage partner Lanny Morris, who is still active and well known within the entertainment business, broke up their professional partnership shortly after they hosted a successful thirty-nine hour telethon for polio research in Miami, there not having been any indication of problems between the two before that; and how did the dead body of Maureen O'Flaherty end up in the water filled bathtub in Vince and Lanny's New Jersey hotel suite, the opening of that New Jersey hotel owned by mobster Sally Sanmarco which was Lanny and Vince's next gig after the telethon. Maureen, a college student, was working part-time as a room service waitress at the Miami Versailles Hotel where Vince and Lanny were staying during the telethon, she who had served the pair at the time. The last she was known to be seen was by the Miami hotel staff when Lanny and Vince were still staying there three days before the discovery of her body, with the official cause of death being accidental drowning as she had narcotics in her system. Neither Lanny or Vince was ever implicated in having anything to do with Maureen's death or even how she got from Miami to New Jersey coinciding with their own travels. Despite there perhaps being more well known writers who could do the job, the publishing company chose Karen as, known or unknown to Vince, she was the Miracle Child, a polio survivor who appeared on the 1957 telethon. During her research, Karen is unable to meet with Lanny, who, through his legal representatives, tells her that he is writing his own explosive tell-all book which will make her project meaningless. In Karen's search for the truth, things get complicated when she starts receiving from an anonymous source upcoming chapters from Lanny's memoirs which may purely be to throw her off the track from reality, and when she meets Lanny in the flesh, she not divulging to him who she really is.",male nudity voyeur threesome lesbian cunnilingus bisexual 231 more ,134,0.13950712
