SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
Virgin Territory [2007 film],Virgin Territory [2007 film],/work/15503415,Virgin Territory,/work/247027,,by Shar Rednour,1,-3.67,1,1
Meet the Robinsons [2007 animated film],Meet the Robinsons [2007 animated film],/work/5280252,A Day with Wilbur Robinson,/work/129706,1990,by William Joyce,0,-3.84,9,1
The Last Legion [2007 film],The Last Legion [2007 film],/work/10845750,L'ultima Legione,/work/287212,2002,by Valerio Massimo Manfredi,0,-3.4,1,1
The Kite Runner [2007 film],The Kite Runner [2007 film],/work/8006378,The Kite Runner,/work/5276341,2003,by Khaled Hosseini,0,-4.2,9,23
The Nanny Diaries [2007 film],The Nanny Diaries [2007 film],/work/11225539,The Nanny Diaries,/work/21637,,"by Emma McLaughlin, Nicola Kraus (Author)",1,-3.21,4,1
Blood and Chocolate,Blood and Chocolate,/work/16181,,,1997,by Annette Curtis Klause,0,-3.72,23,12
The Seeker: The Dark is Rising [2007 movie],The Seeker: The Dark is Rising [2007 movie],/work/6731055,The Dark Is Rising,/work/4290062,1973,by Susan Cooper,1,-4.12,17,13
Reservation Road [2007 film],Reservation Road [2007 film],/work/12466868,Reservation Road (Vintage Contemporaries),/work/71547,,by John Burnham Schwartz,1,-3.4,1,1
Love in the Time of Cholera [2007 film],Love in the Time of Cholera [2007 film],/work/9701493,Love in the Time of Cholera,/work/10105,1985,by Gabriel García Márquez,0,-3.96,12,21
The Invisible Man,The Invisible Man,/work/21214,,,1897,by H. G. Wells,0,-3.53,18,6
Une vieille maîtresse,Une vieille maîtresse,/work/11008973,,,,by Catherine Breillat,0,-2.5,1,1
The Death and Life of Bobby Z,The Death and Life of Bobby Z,/work/28615,,,1997,by Don Winslow,0,-3.75,2,2
Paranoid Park [2007 film],Paranoid Park [2007 film],/work/12072887,Paranoid Park,/work/1205640,2006,by Blake Nelson,0,-3.68,6,1
Youth Without Youth [2007 movie],Youth Without Youth [2007 movie],/work/18050471,Youth Without Youth,/work/4366373,1976,by Mircea Eliade,0,-3.4,1,1
Silk [2007 film],Silk [2007 film],/work/11550586,Silk,/work/18143,1996,by Alessandro Baricco,0,-3.81,5,3
December Boys,December Boys,/work/17239217,,,,by Joe Clifford,1,-4.1,1,1
Martian Child,Martian Child,/work/11124786,The Martian Child: A Novel About A Single Father Adopting A Son,/work/81719,,by David Gerrold,0,-3.79,2,1
Then She Found Me [2007 film],Then She Found Me [2007 film],/work/6894633,Then She Found Me,/work/42558,1990,by Elinor Lipman,0,-3.53,3,1
Fugitive Pieces,Fugitive Pieces,/work/17911,,,1996,by Anne Michaels,0,-3.77,7,14
The Tracey Fragments,The Tracey Fragments,/work/1183683,,,1998,by Maureen Medved,0,-4,4,1
The Last Sin Eater [2007 film],The Last Sin Eater [2007 film],/work/12907267,The Last Sin Eater,/work/150649,,by Francine Rivers,0,-4.03,4,1
The Sun Also Rises [2007 film],The Sun Also Rises [2007 film],/work/17913424,The Sun Also Rises,/work/23107,1926,by Ernest Hemingway,0,-3.77,11,19
The Little Traitor,The Little Traitor,/work/10418450,,,,by Lynn Roth [director],0,-4.5,1,1
Beaufort,Beaufort,/work/3915047,,,2005,by Ron Leshem,0,-4.16,24,3
"Genghis Khan: To the Ends of the Earth and Sea, Volume 1","Genghis Khan: To the Ends of the Earth and Sea, Volume 1",/work/7815312,,,,by Seiichi Morimura,1,,1,1
All Hat,All Hat,/work/214496,,,,by Brad Smith,0,-4.67,1,1
Emotional Arithmetic: A Novel,Emotional Arithmetic: A Novel,/work/335871,,,,by Matt Cohen,0,-3.5,1,1
Paragraf 78,Paragraf 78,,,,,,,,,
"Lewdness (Peccatum Mutum: The Mute Sin, alias Sodomy)","Lewdness (Peccatum Mutum: The Mute Sin, alias Sodomy)",/work/10278493,,,,by Sinistrari d'Ameno,0,,1,1
Best Wishes for Tomorrow,Best Wishes for Tomorrow,,,,,,,,,
Cairo Jim on the trail to Chacha Muchos: an epic tale of rhythm,Cairo Jim on the trail to Chacha Muchos: an epic tale of rhythm,/work/1522819,,,,by mcskimminggeoffrey,1,-3.83,1,1
Casino Royale [2006 film],Casino Royale [2006 film],/work/2812440,Casino Royale,/work/2612458,1953,by Ian Fleming,1,-3.53,25,6
The Prestige [2006 film],The Prestige [2006 film],/work/2641242,The Prestige,/work/18416,1995,by Christopher Priest,0,-3.81,5,7
Children of Men [2006 film],Children of Men [2006 film],/work/2781198,The Children of Men,/work/14944,1992,by P.D. James,0,-3.57,2,8
The Da Vinci Code [2006 film],The Da Vinci Code [2006 film],/work/2177925,The Da Vinci Code,/work/3123767,2003,by Dan Brown,1,-3.53,9,22
A Good Year [2006 film],A Good Year [2006 film],/work/3750366,A Good Year,/work/5661,2004,by Peter Mayle,0,-3.53,9,1
The Devil Wears Prada [2006 film],The Devil Wears Prada [2006 film],/work/2845190,The Devil Wears Prada,/work/10284,2003,by Lauren Weisberger,1,-3.33,20,4
Perfume: The Story of a Murderer [2006 film],Perfume: The Story of a Murderer [2006 film],/work/6508840,Perfume: The Story of a Murderer,/work/36980,1985,by Patrick Süskind,0,-3.95,11,21
Little Children [2006 film],Little Children [2006 film],/work/8209938,Little Children: A Novel,/work/26899,2004,by Tom Perrotta,0,-3.64,19,4
Marie Antoinette [2006 film],Marie Antoinette [2006 film],/work/2376065,Marie Antoinette: The Portrait of an Average Woman,/work/404772,1932,by Stefan Zweig,0,-3.99,9,3
The Black Dahlia [2006 film],The Black Dahlia [2006 film],/work/5810290,The Black Dahlia,/work/24623,1987,by James Ellroy,1,-3.62,13,3
Poseidon [2006 film],Poseidon [2006 film],/work/3002303,Poseidon's Wake,/work/15674383,,by Alastair Reynolds,1,-3.63,9,1
Eragon [2006 film],Eragon [2006 film],/work/2720167,Eragon,/work/6518,2002,by Christopher Paolini,1,-3.69,23,33
Aquamarine,Aquamarine,/work/45518,,,2001,by Alice Hoffman,1,-3.3,6,1
Charlotte's Web,Charlotte's Web,/work/1590,,,1952,by E. B. White,0,-4.21,10,31
A Scanner Darkly [2006 film],A Scanner Darkly [2006 film],/work/3337875,A Scanner Darkly,/work/16566,1977,by Philip K. Dick,0,-3.97,21,6
Death Note [2006 live action film],Death Note [2006 live action film],/work/16651496,"Death Note, Volume 1: Boredom",/work/39176,2003,"by Tsugumi Ohba, Takeshi Obata (Illustrator)",1,-4.18,7,6
Notes on a Scandal [2006 film],Notes on a Scandal [2006 film],/work/5457594,Notes on a Scandal,/work/94034,2003,by Zoë Heller,0,-3.63,6,3
The Painted Veil [2006 film],The Painted Veil [2006 film],/work/3291145,The Painted Veil,/work/51070,1925,by W. Somerset Maugham,0,-3.94,7,3
Zoom [2006 film],Zoom [2006 film],/work/13594682,Zoom,/work/29580,,by Istvan Banyai,0,-4.35,1,4
All The King's Men [2006 film],All The King's Men [2006 film],/work/12542484,All the King's Men,/work/35392,1946,by Robert Penn Warren,0,-4.12,5,21
The Sentinel [2006 film],The Sentinel [2006 film],/work/4121876,The Sentinel,/work/223464,,by Gerald Petievich,0,-2.25,1,1
The Namesake [2006 film],The Namesake [2006 film],/work/5407396,The Namesake,/work/3015,2003,by Jhumpa Lahiri,0,-3.91,12,7
Peaceful Warrior [2006 film],Peaceful Warrior [2006 film],/work/6931538,Way of the Peaceful Warrior: A Book That Changes Lives,/work/121676,1980,by Dan Millman,1,-3.8,3,1
Hoot,Hoot,/work/123835,,,2002,by Carl Hiaasen,0,-3.79,15,27
School For Scoundrels [2006 film],School For Scoundrels [2006 film],/work/17310331,School For Scoundrels [1960 film],/work/14443744,,by Robert Hamer,0,-4,1,1
Freedomland [2006 movie],Freedomland [2006 movie],/work/17017695,Freedomland,/work/76686,1998,by Richard Price,1,-3.54,3,1
The Night Listener [2006 film],The Night Listener [2006 film],/work/4738717,The Night Listener,/work/13911,2000,by Armistead Maupin,0,-3.53,5,1
The Good German [2006 film],The Good German [2006 film],/work/3213980,The Good German,/work/19746,2001,by Joseph Kanon,0,-3.6,1,1
Flicka [2006 film],Flicka [2006 film],/work/8280852,My Friend Flicka,/work/33824,1941,by Mary O'Hara,1,-3.83,1,1
One Night with the King [2007 film],One Night with the King [2007 film],/work/3504294,Hadassah: One Night With the King,/work/136576,2003,"by Tommy Tenney, Mark Olsen",1,-3.84,1,1
How to Eat Fried Worms,How to Eat Fried Worms,/work/31521,,,1973,by Thomas Rockwell,1,-3.61,6,11
The Celestine Prophecy [2006 film],The Celestine Prophecy [2006 film],/work/13629136,The Celestine Prophecy: An Adventure,/work/3320466,1993,by James Redfield,1,-3.17,26,2
Thr3e [2006 film],Thr3e [2006 film],/work/3750207,Three,/work/124419,,by Ted Dekker,0,-3.85,1,4
Love's Abiding Joy,Love's Abiding Joy,/work/124428,,,1983,by Janette Oke,1,-4.06,4,1
O cheiro do ralo,O cheiro do ralo,/work/1778473,,,,by Lourenço Mutarelli,0,-4.1,1,1
Wolfhound,Wolfhound,,,,,,,,,
The valley of flowers,The valley of flowers,/work/4549993,,,,by Frank S. Smythe,0,-2.5,1,1
46-okunen no koi,46-okunen no koi,,,,,,,,,
Opal Dream,Opal Dream,/work/15409345,,,,,,,,
The Work and the Glory III: A House Divided [2006 movie],The Work and the Glory III: A House Divided [2006 movie],/work/17078890,,,,,,,,
A Sunday at the Pool in Kigali,A Sunday at the Pool in Kigali,/work/28768,,,2000,by Gil Courtemanche,0,-3.93,2,4
The Treatment,The Treatment,/work/156820,,,2001,by Mo Hayder,1,-3.72,3,1
The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr Jekyll and Mr Hyde,/work/12349,,,1886,by Robert Louis Stevenson,0,-3.73,10,20
The Housekeeper and the Professor,The Housekeeper and the Professor,/work/5263983,,,2003,by Yoko Ogawa,0,-3.98,3,4
Disappearances,Disappearances,/work/232884,,,,by Howard Frank Mosher,0,-3.93,1,1
Aziris nuna,Aziris nuna,,,,,,,,,
Tin sang yat dui,Tin sang yat dui,,,,,,,,,
Harry Potter and the Goblet of Fire [2005 film],Harry Potter and the Goblet of Fire [2005 film],/work/708696,Harry Potter and the Goblet of Fire,/work/113,2000,by J. K. Rowling,1,-4.36,49,25
Charlie and the Chocolate Factory [2005 film],Charlie and the Chocolate Factory [2005 film],/work/2987469,Charlie and the Chocolate Factory,/work/1588,,by Roald Dahl,1,-4.1,25,15
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe [2005 film]","The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe [2005 film]",/work/1120452,"The Lion, the Witch and the Wardrobe",/work/1182675,1950,by C. S. Lewis,1,-4.1,15,21
The Amityville Horror [2005 film],The Amityville Horror [2005 film],/work/11185035,The Amityville Horror: A True Story,/work/60656,1977,by Jay Anson,1,-3.26,7,4
War of the Worlds [2005 film],War of the Worlds [2005 film],/work/2933588,The War of the Worlds,/work/11494,1898,by H. G. Wells,0,-3.75,12,22
Lie With Me [2005 Film],Lie With Me [2005 Film],/work/12286232,"Lie with Me (Shadow Force Series, Book 1)",/work/9769294,,by Stephanie Tyler,1,-3.89,2,1
The Hitchhiker's Guide to the Galaxy [2005 film],The Hitchhiker's Guide to the Galaxy [2005 film],/work/722329,The Hitchhiker's Guide to the Galaxy,/work/2492277,1979,by Douglas Adams,1,-4.21,18,25
Memoirs of a Geisha [2005 film],Memoirs of a Geisha [2005 film],/work/2904892,Memoirs of a Geisha,/work/2704,1997,by Arthur Golden,0,-4,1,5
Thank You for Smoking [2005 film],Thank You for Smoking [2005 film],/work/4470796,Thank You for Smoking,/work/23110,,by Christopher Buckley,0,-3.86,6,1
The Constant Gardener [2005 film],The Constant Gardener [2005 film],/work/1214307,The Constant Gardener,/work/4816,2001,by John le Carré,0,-3.6,5,5
Dark Water [2005 American film],Dark Water [2005 American film],/work/4303415,Dark Water,/work/71670,1996,by Koji Suzuki,0,-3.61,1,1
The Sisterhood of the Traveling Pants [2005 film],The Sisterhood of the Traveling Pants [2005 film],/work/1977932,The Sisterhood of the Traveling Pants,/work/12482,,by Ann Brashares,1,-3.78,12,23
The Interpreter [2005 film],The Interpreter [2005 film],/work/3653304,The Interpreter,/work/505154,1960,by Brian W. Aldiss,0,-2.66,9,1
The Ring Two [2005 film],The Ring Two [2005 film],/work/4144370,The Lord of the Rings,/work/1386651,1968,by J. R. R. Tolkien,1,-4.52,270,58
Sahara [2005 film],Sahara [2005 film],/work/8125148,Sahara,/work/1182459,1992,by Clive Cussler,1,-3.68,17,2
Cheaper by the Dozen 2 [2005 film],Cheaper by the Dozen 2 [2005 film],/work/2928006,Cheaper by the Dozen,/work/33070,1948,"by Frank B. Gilbreth Jr., Ernestine Gilbreth Carey (Author)",1,-4,36,2
Just Like Heaven [2005 film],Just Like Heaven [2005 film],/work/6771748,If Only It Were True,/work/213024,2000,by Marc Levy,1,-3.18,4,6
Be Cool [2005 film],Be Cool [2005 film],/work/7973473,Be Cool,/work/23044,1999,by Elmore Leonard,1,-3.29,3,1
Fun with Dick & Jane [2005 film],Fun with Dick & Jane [2005 film],/work/7656503,Read with Dick and Jane: Fun with Dick and Jane,/work/16141994,,"by Grosset and Dunlap, Scott Foresman",1,-4.11,1,1
Hostage [2005 film],Hostage [2005 film],/work/11693001,Hostage,/work/2586,2001,by Robert Crais,0,-3.68,9,3
Fever Pitch [2005 film],Fever Pitch [2005 film],/work/10266171,Fever Pitch,/work/5772,1992,by Nick Hornby,0,-3.64,1,1
Because of Winn-Dixie [2005 film],Because of Winn-Dixie [2005 film],/work/13903938,Because of Winn-Dixie,/work/1577,,by Kate DiCamillo,0,-4.15,8,59
Oliver Twist [2005 film],Oliver Twist [2005 film],/work/5810381,Oliver Twist,/work/2215,1838,by Charles Dickens,0,-3.83,49,16
Where the Truth Lies [2005 film],Where the Truth Lies [2005 film],/work/9353726,Where the Truth Lies: A Novel,/work/75886,,by Rupert Holmes,0,-3.56,1,1
Must Love Dogs [2005 film],Must Love Dogs [2005 film],/work/2507587,Must Love Dogs,/work/35359,,by Claire Cook,0,-3.34,1,1
Tideland [2005 film],Tideland [2005 film],/work/3075796,Tideland,/work/558232,,by Mitch Cullin,0,-3.48,5,1
An American Haunting,An American Haunting,/work/11346514,,,,by Courtney Solomon,0,-3.17,1,1
Everything is Illuminated [2005 film],Everything is Illuminated [2005 film],/work/1127428,Everything Is Illuminated,/work/840,2002,by Jonathan Safran Foer,0,-3.86,8,19
Factotum [2005 film],Factotum [2005 film],/work/7961712,Factotum,/work/23065,1975,by Charles Bukowski,0,-3.83,1,1
Tsotsi [2005 film],Tsotsi [2005 film],/work/1859176,Tsotsi,/work/105214,1980,by Athol Fugard,0,-3.73,4,1
Bee season [2005 film],Bee season [2005 film],/work/12070585,Bee Season,/work/2361,,by Myla Goldberg,0,-3.51,4,9
Mrs Palfrey at the Claremont [2005 film],Mrs Palfrey at the Claremont [2005 film],/work/13085560,Mrs. Palfrey at the Claremont,/work/19523,1971,by Elizabeth Taylor,0,-4.08,6,4
Tara Road [2005 film],Tara Road [2005 film],/work/17886013,Tara Road,/work/2880,,by Maeve Binchy,0,-3.65,5,3
The Tenants,The Tenants,/work/631824,,,1971,by Bernard Malamud,0,-3.42,3,1
Turetskiy gambit,Turetskiy gambit,/work/24052190,,,,,,,,
The State Counsellor,The State Counsellor,/work/582643,,,1999,by Boris Akunin,1,-3.96,2,1
The Song of Everlasting Sorrow,The Song of Everlasting Sorrow,/work/5042572,,,,by Wang Anyi,0,-4,1,1
亡国のイージス 上,亡国のイージス 上,/work/2071522,,,,by Harutoshi Fukui,0,-5,1,1
Nezu no ban,Nezu no ban,,,,,,,,,
Troy [2004 film],Troy [2004 film],/work/11530,Troy,/work/63568,2000,by Adèle Geras,1,-3.59,14,14
Harry Potter and the Prisoner of Azkaban [2004 film],Harry Potter and the Prisoner of Azkaban [2004 film],/work/3353173,Harry Potter and the Prisoner of Azkaban,/work/2742161,1999,by J. K. Rowling,1,-4.4,37,37
Man on Fire [2004 film],Man on Fire [2004 film],/work/6728827,Man on Fire,/work/474221,,by A. J. Quinnell,1,-4.02,4,2
The Notebook [2004 film],The Notebook [2004 film],/work/162915,The Notebook,/work/19751569,1996,by Nicholas Sparks,1,-3.77,2,4
Howl's Moving Castle [2004 film],Howl's Moving Castle [2004 film],/work/1806103,Howl's Moving Castle,/work/8144098,1986,by Diana Wynne Jones,1,-4.29,27,9
The Phantom of the Opera [2004 film],The Phantom of the Opera [2004 film],/work/1030463,The Phantom of the Opera,/work/12502,1910,by Gaston Leroux,0,-3.76,52,3
Lemony Snicket's A Series of Unfortunate Events [2004 film],Lemony Snicket's A Series of Unfortunate Events [2004 film],/work/937714,The Bad Beginning,/work/1748,1999,by Lemony Snicket,1,-3.7,15,13
Secret Window [2004 film],Secret Window [2004 film],/work/1053966,"Secret Window, Secret Garden",/work/8696187,,by Stephen King,1,-3.85,2,1
"I, Robot [2004 film]","I, Robot [2004 film]",/work/1036374,"I, Robot",/work/5196084,1950,by Isaac Asimov,1,-3.98,41,11
Sideways [2004 film],Sideways [2004 film],/work/1304214,Sideways,/work/27987,2004,by Rex Pickett,1,-3.85,2,1
The Bourne Supremacy [2004 film],The Bourne Supremacy [2004 film],/work/435508,The Bourne Supremacy,/work/21622,1986,by Robert Ludlum,1,-3.69,4,1
Flight of the Phoenix [2004 film],Flight of the Phoenix [2004 film],/work/4111388,The Flight of the Phoenix,/work/3992264,1964,by Elleston Trevor,0,-3.91,1,1
Taking Lives [2004 film],Taking Lives [2004 film],/work/1036602,Taking Lives,/work/74629,,by Michael Pye,0,-2.47,1,1
Ella Enchanted [2004 film],Ella Enchanted [2004 film],/work/4041464,Ella Enchanted,/work/6378,1997,by Gail Carson Levine,1,-4.09,9,32
The Manchurian Candidate [2004 film],The Manchurian Candidate [2004 film],/work/1994515,The Manchurian Candidate,/work/12989,1959,by Richard Condon,0,-3.69,16,4
Bridget Jones: The Edge of Reason [2004 film],Bridget Jones: The Edge of Reason [2004 film],/work/1456819,Bridget Jones: The Edge of Reason,/work/5708,1999,by Helen Fielding,1,-3.37,30,3
Christmas with the Kranks [2004 film],Christmas with the Kranks [2004 film],/work/1581167,Skipping Christmas,/work/861116,2001,by John Grisham,0,-3.29,11,2
Around the World in 80 Days [2004 film],Around the World in 80 Days [2004 film],/work/2472461,Around the World in Eighty Days,/work/31129,,by Jules Verne,1,-3.82,15,15
The Stepford Wives [2004 film],The Stepford Wives [2004 film],/work/12491187,The Stepford Wives,/work/45136,1972,by Ira Levin,0,-3.6,2,1
A Very Long Engagement [2004 film],A Very Long Engagement [2004 film],/work/317739,A Very Long Engagement,/work/71874,1991,by Sébastien Japrisot,0,-3.99,10,1
Confessions of a Teenage Drama Queen [2004 film],Confessions of a Teenage Drama Queen [2004 film],/work/646764,Confessions of a Teenage Drama Queen,/work/87340,,by Dyan Sheldon,1,-3.37,2,4
Vanity Fair [2004 film],Vanity Fair [2004 film],/work/11971768,Vanity Fair,/work/10168,1847,by William Makepeace Thackeray,0,-3.88,9,23
Night Watch [2004 film],Night Watch [2004 film],/work/3775324,Night Watch,/work/732079,1998,by Sergei Lukyanenko,1,-3.88,15,5
The Door in the Floor [2004 film],The Door in the Floor [2004 film],/work/10213705,A Widow for One Year,/work/2311,1998,by John Irving,0,-3.69,7,2
The Big Bounce [2004 film],The Big Bounce [2004 film],/work/9302003,The Big Bounce,/work/123771,1969,by Elmore Leonard,1,-3.49,3,1
Five Children and It [2004 film],Five Children and It [2004 film],/work/18817494,Five Children and It,/work/3779194,1902,by E. Nesbit,1,-3.89,7,4
Being Julia [2004 film],Being Julia [2004 film],/work/8692458,Theatre,/work/4286751,1937,by W. Somerset Maugham,0,-3.75,1,1
Never Die Alone [2004 Film],Never Die Alone [2004 Film],/work/16549051,Never Die Alone,/work/15669521,2015,by Lisa Jackson,1,-3.8,42,1
A Home at the End of the World [2004 film],A Home at the End of the World [2004 film],/work/1715118,A Home at the End of the World,/work/13114,1990,by Michael Cunningham,0,-3.75,7,4
In My Father's Den,In My Father's Den,/work/187363,,,1972,by Maurice Gee,0,-3.98,1,1
The Work and the Glory [2004 film],The Work and the Glory [2004 film],/work/17078881,Praise to the Man,/work/98513,,by Gerald N. Lund,1,-4.13,1,1
The Bridge of San Luis Rey [2004 film],The Bridge of San Luis Rey [2004 film],/work/8722433,The Bridge of San Luis Rey,/work/25867,1927,by Thornton Wilder,0,-3.79,7,11
72 metra [videorecording] = 72 Meters,72 metra [videorecording] = 72 Meters,/work/5413735,,,,,,,,
Baptists at Our Barbecue,Baptists at Our Barbecue,/work/2254626,,,,by Robert Farrell Smith,0,-3.83,1,1
Killer Diller,Killer Diller,/work/283438,,,1991,by Clyde Edgerton,0,-3.34,5,1
P3k - Pinocchio 3000 [DVD Video],P3k - Pinocchio 3000 [DVD Video],/work/18136769,,,,,,,,
Stop Mom Teresa!,Stop Mom Teresa!,,,,,,,,,
Spackled and Spooked,Spackled and Spooked,/work/8053033,,,,by Jennie Bentley,1,-3.65,4,1
L' incomparable mademoiselle C.,L' incomparable mademoiselle C.,/work/19061895,,,,by Richard Ciupka,0,,1,1
Daddy,Daddy,/work/72154,,,1989,by Danielle Steel,0,-3.49,1,1
Le Dernier tunnel,Le Dernier tunnel,/work/19061841,,,,by Érik Canuel,0,,1,1
"Lady Joker, Volume 1","Lady Joker, Volume 1",/work/25932475,,,,by Kaoru Takamura,0,-4,1,1
The Lord of the Rings: The Return of the King [2003 film],The Lord of the Rings: The Return of the King [2003 film],/work/3989256,The Return of The King,/work/3203356,1955,by J. R. R. Tolkien,1,-4.47,164,4
The Dreamers [2003 film],The Dreamers [2003 film],/work/9313099,The Holy Innocents,/work/419862,1988,by Gilbert Adair,0,-3.35,3,1
Mystic River [2003 film],Mystic River [2003 film],/work/644165,Mystic River,/work/13576,2001,by Dennis Lehane,0,-4.06,3,15
Big Fish [2003 film],Big Fish [2003 film],/work/126665,Big Fish: A Novel of Mythic Proportions,/work/191408,,by Daniel Wallace,0,-3.52,6,1
The League of Extraordinary Gentlemen [2003 film],The League of Extraordinary Gentlemen [2003 film],/work/201241,"The League of Extraordinary Gentlemen, Volume 1",/work/7918,2001,"by Alan Moore, Kevin O'Neill (Illustrator)",1,-3.9,55,6
Master and Commander: The Far Side of the World [2003 film],Master and Commander: The Far Side of the World [2003 film],/work/1393029,Master and Commander,/work/6621,1969,by Patrick O'Brian,1,-3.98,16,8
Cold Mountain [2003 film],Cold Mountain [2003 film],/work/13088798,Cold Mountain,/work/2421,1997,by Charles Frazier,0,-3.82,5,20
Holes,Holes,/work/1638,,,1998,by Louis Sachar,1,-4.07,18,33
Peter Pan [2003 film],Peter Pan [2003 film],/work/312327,Peter Pan,/work/6252,1911,by J. M. Barrie,1,-3.96,33,9
Dreamcatcher [2003 film],Dreamcatcher [2003 film],/work/2034075,Dreamcatcher,/work/6999,2001,by Stephen King,0,-3.33,6,2
Freaky Friday [2003 film],Freaky Friday [2003 film],/work/11400662,Freaky Friday,/work/59888,1972,by Mary Rodgers,1,-3.63,4,7
Cheaper by the Dozen [2003 film],Cheaper by the Dozen [2003 film],/work/8196936,Cheaper by the Dozen,/work/33070,1948,"by Frank B. Gilbreth Jr., Ernestine Gilbreth Carey (Author)",1,-4,36,2
Open Range [2003 film],Open Range [2003 film],/work/1335329,Open Range,/work/450701,1990,by Lauran Paine,0,-3.6,1,1
In the Cut [2003 film],In the Cut [2003 film],/work/7672304,In the Cut,/work/132896,2000,by Susanna Moore,0,-3.15,6,1
Timeline [2003 film],Timeline [2003 film],/work/2340634,Timeline,/work/8362,1999,by Michael Crichton,0,-3.54,7,4
Under the Tuscan Sun [2003 film],Under the Tuscan Sun [2003 film],/work/1165933,Under the Tuscan Sun: At Home in Italy,/work/8196,1996,by Frances Mayes,1,-3.53,1,1
House of Sand and Fog [2003 Film],House of Sand and Fog [2003 Film],/work/17810759,House of Sand and Fog,/work/4323,,by Andre Dubus III,0,-3.74,4,7
The Human Stain,The Human Stain,/work/18249,,,2000,by Philip Roth,1,-3.85,5,17
Runaway Jury [2003 film],Runaway Jury [2003 film],/work/11257,The Runaway Jury,/work/3659,1996,by John Grisham,0,-3.66,1,4
Gods and Generals [2003 film],Gods and Generals [2003 film],/work/834880,Gods and Generals,/work/4300,,by Jeff Shaara,1,-3.88,7,2
Young Adam [2003 film],Young Adam [2003 film],/work/3929113,Young Adam,/work/171336,1957,by Alexander Trocchi,0,-3.84,1,1
I Capture the Castle [2003 film],I Capture the Castle [2003 film],/work/6550812,I Capture the Castle,/work/7288,1948,by Dodie Smith,0,-4.11,12,8
The Statement [2003 film],The Statement [2003 film],/work/4738740,The Statement,/work/71596,1984,by Brian Moore,0,-3.62,1,1
Carandiru [2003 film],Carandiru [2003 film],/work/9492018,Estação Carandiru,/work/28377,1999,by Dráuzio Varella,0,-4.09,1,1
How to Deal [2003 film],How to Deal [2003 film],/work/8508304,Someone Like You,/work/15659,1998,by Sarah Dessen,0,-3.85,1,6
Good Boy!,Good Boy!,/work/5091462,,,,by John Hoffman,0,-3.5,1,1
Hangman's Curse,Hangman's Curse,/work/9802440,,,2001,by Frank Peretti,1,-3.66,18,2
Strange gardens,Strange gardens,/work/214511,,,2000,by Michel Quint,0,-3.85,5,1
"The Book of Mormon Movie, Volume 1: The Journey","The Book of Mormon Movie, Volume 1: The Journey",/work/23852816,,,,by Robert C Bowden,0,,1,1
Twist [2003 film],Twist [2003 film],/work/16520133,Oliver Twist,/work/2215,1838,by Charles Dickens,0,-3.83,49,16
The King Beyond the Gate,The King Beyond the Gate,/work/11404,,,,by David Gemmell,1,-3.83,1,1
Ao no hono-o,Ao no hono-o,,,,,,,,,
Antikiller 2: Antiterror,Antikiller 2: Antiterror,,,,,,,,,
Harry Potter and the Chamber of Secrets [2002 film],Harry Potter and the Chamber of Secrets [2002 film],/work/4046421,Harry Potter and the Chamber of Secrets,/work/683408,1998,by J. K. Rowling,1,-4.17,33,28
Catch Me If You Can [2002 film],Catch Me If You Can [2002 film],/work/8222671,Catch Me If You Can: The True Story of a Real Fake,/work/53329,1980,"by Frank W. Abagnale, Redding. Stan (Author)",0,-3.8,2,1
The Ring [2002 American film],The Ring [2002 American film],/work/232762,Ring,/work/38023,1991,by Koji Suzuki,1,-3.65,5,4
The Lord of the Rings: The Two Towers [2002 theatrical edition],The Lord of the Rings: The Two Towers [2002 theatrical edition],/work/8232763,The Two Towers,/work/3203350,1954,by J. R. R. Tolkien,1,-4.39,87,1
Queen of the Damned [2002 film],Queen of the Damned [2002 film],/work/10690076,The Vampire Lestat,/work/3449,1985,by Anne Rice,1,-3.9,8,2
Red Dragon [2002 film],Red Dragon [2002 film],/work/1998803,Red Dragon,/work/5882,1981,by Thomas Harris,1,-3.82,5,10
The Count of Monte Cristo [2002 film],The Count of Monte Cristo [2002 film],/work/9674356,The Count of Monte Cristo,/work/3728592,1844,by Alexandre Dumas père,0,-4.32,27,23
The Bourne Identity [2002 film],The Bourne Identity [2002 film],/work/390628,The Bourne Identity,/work/4805,1980,by Robert Ludlum,1,-3.84,7,5
Road to Perdition [2002 film],Road to Perdition [2002 film],/work/646696,Road to Perdition,/work/935,,"by Max Allan Collins, Richard Piers Rayner (Illustrator)",1,-3.64,6,1
We Were Soldiers [2002 film],We Were Soldiers [2002 film],/work/1026260,We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam,/work/49674,1993,"by Harold G. Moore, Joseph L. Galloway",0,-4.1,1,2
A Walk to Remember [2002 film],A Walk to Remember [2002 film],/work/8802778,A Walk to Remember,/work/8405130,1999,by Nicholas Sparks,0,-3.84,2,5
