SearchTerm,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
Zoom [2006 film],/work/13594682,Zoom,/work/29580,,by Istvan Banyai,0.0,(4.35),1.0,4.0
All The King's Men [2006 film],/work/12542484,All the King's Men,/work/35392,(1946),by Robert Penn Warren,0.0,(4.12),5.0,21.0
The Sentinel [2006 film],/work/4121876,The Sentinel,/work/223464,,by Gerald Petievich,0.0,(2.25),1.0,1.0
The Namesake [2006 film],/work/5407396,The Namesake,/work/3015,(2003),by Jhumpa Lahiri,0.0,(3.91),12.0,7.0
Peaceful Warrior [2006 film],/work/6931538,Way of the Peaceful Warrior: A Book That Changes Lives,/work/121676,(1980),by Dan Millman,1.0,(3.8),3.0,1.0
Hoot,/work/123835,,,(2002),by Carl Hiaasen,0.0,(3.79),15.0,27.0
School For Scoundrels [2006 film],/work/17310331,School For Scoundrels [1960 film],/work/14443744,,by Robert Hamer,0.0,(4),1.0,1.0
Freedomland [2006 movie],/work/17017695,Freedomland,/work/76686,(1998),by Richard Price,1.0,(3.54),3.0,1.0
The Night Listener [2006 film],/work/4738717,The Night Listener,/work/13911,(2000),by Armistead Maupin,0.0,(3.53),5.0,1.0
The Good German [2006 film],/work/3213980,The Good German,/work/19746,(2001),by Joseph Kanon,0.0,(3.6),1.0,1.0
Flicka [2006 film],/work/8280852,My Friend Flicka,/work/33824,(1941),by Mary O'Hara,1.0,(3.83),1.0,1.0
One Night with the King [2007 film],/work/3504294,Hadassah: One Night With the King,/work/136576,(2003),"by Tommy Tenney, Mark Olsen",1.0,(3.84),1.0,1.0
How to Eat Fried Worms,/work/31521,,,(1973),by Thomas Rockwell,1.0,(3.61),6.0,11.0
The Celestine Prophecy [2006 film],/work/13629136,The Celestine Prophecy: An Adventure,/work/3320466,(1993),by James Redfield,1.0,(3.17),26.0,2.0
Thr3e [2006 film],/work/3750207,Three,/work/124419,,by Ted Dekker,0.0,(3.85),1.0,4.0
Love's Abiding Joy,/work/124428,,,(1983),by Janette Oke,1.0,(4.06),4.0,1.0
O cheiro do ralo,/work/1778473,,,,by Lourenço Mutarelli,0.0,(4.1),1.0,1.0
Wolfhound,,,,,,,,,
The valley of flowers,/work/4549993,,,,by Frank S. Smythe,0.0,(2.5),1.0,1.0
46-okunen no koi,,,,,,,,,
Opal Dream,/work/15409345,,,,,,,,
The Work and the Glory III: A House Divided [2006 movie],/work/17078890,,,,,,,,
A Sunday at the Pool in Kigali,/work/28768,,,(2000),by Gil Courtemanche,0.0,(3.93),2.0,4.0
The Treatment,/work/156820,,,(2001),by Mo Hayder,1.0,(3.72),3.0,1.0
The Strange Case of Dr Jekyll and Mr Hyde,/work/12349,,,(1886),by Robert Louis Stevenson,0.0,(3.73),10.0,20.0
The Housekeeper and the Professor,/work/5263983,,,(2003),by Yoko Ogawa,0.0,(3.98),3.0,4.0
Disappearances,/work/232884,,,,by Howard Frank Mosher,0.0,(3.93),1.0,1.0
Aziris nuna,,,,,,,,,
Tin sang yat dui,,,,,,,,,
Harry Potter and the Goblet of Fire [2005 film],/work/708696,Harry Potter and the Goblet of Fire,/work/113,(2000),by J. K. Rowling,1.0,(4.36),49.0,25.0
Charlie and the Chocolate Factory [2005 film],/work/2987469,Charlie and the Chocolate Factory,/work/1588,,by Roald Dahl,1.0,(4.1),25.0,15.0
"The Chronicles of Narnia: The Lion, the Witch, and the Wardrobe [2005 film]",/work/1120452,"The Lion, the Witch and the Wardrobe",/work/1182675,(1950),by C. S. Lewis,1.0,(4.1),15.0,21.0
The Amityville Horror [2005 film],/work/11185035,The Amityville Horror: A True Story,/work/60656,(1977),by Jay Anson,1.0,(3.26),7.0,4.0
War of the Worlds [2005 film],/work/2933588,The War of the Worlds,/work/11494,(1898),by H. G. Wells,0.0,(3.75),12.0,22.0
Lie With Me [2005 Film],/work/12286232,"Lie with Me (Shadow Force Series, Book 1)",/work/9769294,,by Stephanie Tyler,1.0,(3.89),2.0,1.0
The Hitchhiker's Guide to the Galaxy [2005 film],/work/722329,The Hitchhiker's Guide to the Galaxy,/work/2492277,(1979),by Douglas Adams,1.0,(4.21),18.0,25.0
Memoirs of a Geisha [2005 film],/work/2904892,Memoirs of a Geisha,/work/2704,(1997),by Arthur Golden,0.0,(4),1.0,5.0
Thank You for Smoking [2005 film],/work/4470796,Thank You for Smoking,/work/23110,,by Christopher Buckley,0.0,(3.86),6.0,1.0
The Constant Gardener [2005 film],/work/1214307,The Constant Gardener,/work/4816,(2001),by John le Carré,0.0,(3.6),5.0,5.0
Dark Water [2005 American film],/work/4303415,Dark Water,/work/71670,(1996),by Koji Suzuki,0.0,(3.61),1.0,1.0
The Sisterhood of the Traveling Pants [2005 film],/work/1977932,The Sisterhood of the Traveling Pants,/work/12482,,by Ann Brashares,1.0,(3.78),12.0,23.0
The Interpreter [2005 film],/work/3653304,The Interpreter,/work/505154,(1960),by Brian W. Aldiss,0.0,(2.66),9.0,1.0
The Ring Two [2005 film],/work/4144370,The Lord of the Rings,/work/1386651,(1968),by J. R. R. Tolkien,1.0,(4.52),270.0,58.0
Sahara [2005 film],/work/8125148,Sahara,/work/1182459,(1992),by Clive Cussler,1.0,(3.68),17.0,2.0
Cheaper by the Dozen 2 [2005 film],/work/2928006,Cheaper by the Dozen,/work/33070,(1948),"by Frank B. Gilbreth Jr., Ernestine Gilbreth Carey (Author)",1.0,(4),36.0,2.0
Just Like Heaven [2005 film],/work/6771748,If Only It Were True,/work/213024,(2000),by Marc Levy,1.0,(3.18),4.0,6.0
Be Cool [2005 film],/work/7973473,Be Cool,/work/23044,(1999),by Elmore Leonard,1.0,(3.29),3.0,1.0
Fun with Dick & Jane [2005 film],/work/7656503,Read with Dick and Jane: Fun with Dick and Jane,/work/16141994,,"by Grosset and Dunlap, Scott Foresman",1.0,(4.11),1.0,1.0
Hostage [2005 film],/work/11693001,Hostage,/work/2586,(2001),by Robert Crais,0.0,(3.68),9.0,3.0
Fever Pitch [2005 film],/work/10266171,Fever Pitch,/work/5772,(1992),by Nick Hornby,0.0,(3.64),1.0,1.0
Because of Winn-Dixie [2005 film],/work/13903938,Because of Winn-Dixie,/work/1577,,by Kate DiCamillo,0.0,(4.15),8.0,59.0
Oliver Twist [2005 film],/work/5810381,Oliver Twist,/work/2215,(1838),by Charles Dickens,0.0,(3.83),49.0,16.0
Where the Truth Lies [2005 film],/work/9353726,Where the Truth Lies: A Novel,/work/75886,,by Rupert Holmes,0.0,(3.56),1.0,1.0
Must Love Dogs [2005 film],/work/2507587,Must Love Dogs,/work/35359,,by Claire Cook,0.0,(3.34),1.0,1.0
Tideland [2005 film],/work/3075796,Tideland,/work/558232,,by Mitch Cullin,0.0,(3.48),5.0,1.0
An American Haunting,/work/11346514,,,,by Courtney Solomon,0.0,(3.17),1.0,1.0
Everything is Illuminated [2005 film],/work/1127428,Everything Is Illuminated,/work/840,(2002),by Jonathan Safran Foer,0.0,(3.86),8.0,19.0
Factotum [2005 film],/work/7961712,Factotum,/work/23065,(1975),by Charles Bukowski,0.0,(3.83),1.0,1.0
Tsotsi [2005 film],/work/1859176,Tsotsi,/work/105214,(1980),by Athol Fugard,0.0,(3.73),4.0,1.0
Bee season [2005 film],/work/12070585,Bee Season,/work/2361,,by Myla Goldberg,0.0,(3.51),4.0,9.0
Mrs Palfrey at the Claremont [2005 film],/work/13085560,Mrs. Palfrey at the Claremont,/work/19523,(1971),by Elizabeth Taylor,0.0,(4.08),6.0,4.0
Tara Road [2005 film],/work/17886013,Tara Road,/work/2880,,by Maeve Binchy,0.0,(3.65),5.0,3.0
The Tenants,/work/631824,,,(1971),by Bernard Malamud,0.0,(3.42),3.0,1.0
Turetskiy gambit,/work/24052190,,,,,,,,
The State Counsellor,/work/582643,,,(1999),by Boris Akunin,1.0,(3.96),2.0,1.0
The Song of Everlasting Sorrow,/work/5042572,,,,by Wang Anyi,0.0,(4),1.0,1.0
亡国のイージス 上,/work/2071522,,,,by Harutoshi Fukui,0.0,(5),1.0,1.0
Nezu no ban,,,,,,,,,
Troy [2004 film],/work/11530,Troy,/work/63568,(2000),by Adèle Geras,1.0,(3.59),14.0,14.0
Harry Potter and the Prisoner of Azkaban [2004 film],/work/3353173,Harry Potter and the Prisoner of Azkaban,/work/2742161,(1999),by J. K. Rowling,1.0,(4.4),37.0,37.0
Man on Fire [2004 film],/work/6728827,Man on Fire,/work/474221,,by A. J. Quinnell,1.0,(4.02),4.0,2.0
The Notebook [2004 film],/work/162915,The Notebook,/work/19751569,(1996),by Nicholas Sparks,1.0,(3.77),2.0,4.0
Howl's Moving Castle [2004 film],/work/1806103,Howl's Moving Castle,/work/8144098,(1986),by Diana Wynne Jones,1.0,(4.29),27.0,9.0
The Phantom of the Opera [2004 film],/work/1030463,The Phantom of the Opera,/work/12502,(1910),by Gaston Leroux,0.0,(3.76),52.0,3.0
Lemony Snicket's A Series of Unfortunate Events [2004 film],/work/937714,The Bad Beginning,/work/1748,(1999),by Lemony Snicket,1.0,(3.7),15.0,13.0
Secret Window [2004 film],/work/1053966,"Secret Window, Secret Garden",/work/8696187,,by Stephen King,1.0,(3.85),2.0,1.0
"I, Robot [2004 film]",/work/1036374,"I, Robot",/work/5196084,(1950),by Isaac Asimov,1.0,(3.98),41.0,11.0
Sideways [2004 film],/work/1304214,Sideways,/work/27987,(2004),by Rex Pickett,1.0,(3.85),2.0,1.0
The Bourne Supremacy [2004 film],/work/435508,The Bourne Supremacy,/work/21622,(1986),by Robert Ludlum,1.0,(3.69),4.0,1.0
Flight of the Phoenix [2004 film],/work/4111388,The Flight of the Phoenix,/work/3992264,(1964),by Elleston Trevor,0.0,(3.91),1.0,1.0
Taking Lives [2004 film],/work/1036602,Taking Lives,/work/74629,,by Michael Pye,0.0,(2.47),1.0,1.0
Ella Enchanted [2004 film],/work/4041464,Ella Enchanted,/work/6378,(1997),by Gail Carson Levine,1.0,(4.09),9.0,32.0
The Manchurian Candidate [2004 film],/work/1994515,The Manchurian Candidate,/work/12989,(1959),by Richard Condon,0.0,(3.69),16.0,4.0
Bridget Jones: The Edge of Reason [2004 film],/work/1456819,Bridget Jones: The Edge of Reason,/work/5708,(1999),by Helen Fielding,1.0,(3.37),30.0,3.0
Christmas with the Kranks [2004 film],/work/1581167,Skipping Christmas,/work/861116,(2001),by John Grisham,0.0,(3.29),11.0,2.0
Around the World in 80 Days [2004 film],/work/2472461,Around the World in Eighty Days,/work/31129,,by Jules Verne,1.0,(3.82),15.0,15.0
The Stepford Wives [2004 film],/work/12491187,The Stepford Wives,/work/45136,(1972),by Ira Levin,0.0,(3.6),2.0,1.0
A Very Long Engagement [2004 film],/work/317739,A Very Long Engagement,/work/71874,(1991),by Sébastien Japrisot,0.0,(3.99),10.0,1.0
Confessions of a Teenage Drama Queen [2004 film],/work/646764,Confessions of a Teenage Drama Queen,/work/87340,,by Dyan Sheldon,1.0,(3.37),2.0,4.0
Vanity Fair [2004 film],/work/11971768,Vanity Fair,/work/10168,(1847),by William Makepeace Thackeray,0.0,(3.88),9.0,23.0
Night Watch [2004 film],/work/3775324,Night Watch,/work/732079,(1998),by Sergei Lukyanenko,1.0,(3.88),15.0,5.0
The Door in the Floor [2004 film],/work/10213705,A Widow for One Year,/work/2311,(1998),by John Irving,0.0,(3.69),7.0,2.0
The Big Bounce [2004 film],/work/9302003,The Big Bounce,/work/123771,(1969),by Elmore Leonard,1.0,(3.49),3.0,1.0
Five Children and It [2004 film],/work/18817494,Five Children and It,/work/3779194,(1902),by E. Nesbit,1.0,(3.89),7.0,4.0
Being Julia [2004 film],/work/8692458,Theatre,/work/4286751,(1937),by W. Somerset Maugham,0.0,(3.75),1.0,1.0
Never Die Alone [2004 Film],/work/16549051,Never Die Alone,/work/15669521,(2015),by Lisa Jackson,1.0,(3.8),42.0,1.0
A Home at the End of the World [2004 film],/work/1715118,A Home at the End of the World,/work/13114,(1990),by Michael Cunningham,0.0,(3.75),7.0,4.0
In My Father's Den,/work/187363,,,(1972),by Maurice Gee,0.0,(3.98),1.0,1.0
The Work and the Glory [2004 film],/work/17078881,Praise to the Man,/work/98513,,by Gerald N. Lund,1.0,(4.13),1.0,1.0
The Bridge of San Luis Rey [2004 film],/work/8722433,The Bridge of San Luis Rey,/work/25867,(1927),by Thornton Wilder,0.0,(3.79),7.0,11.0
72 metra [videorecording] = 72 Meters,/work/5413735,,,,,,,,
Baptists at Our Barbecue,/work/2254626,,,,by Robert Farrell Smith,0.0,(3.83),1.0,1.0
Killer Diller,/work/283438,,,(1991),by Clyde Edgerton,0.0,(3.34),5.0,1.0
P3k - Pinocchio 3000 [DVD Video],/work/18136769,,,,,,,,
Stop Mom Teresa!,,,,,,,,,
Spackled and Spooked,/work/8053033,,,,by Jennie Bentley,1.0,(3.65),4.0,1.0
L' incomparable mademoiselle C.,/work/19061895,,,,by Richard Ciupka,0.0,,1.0,1.0
Daddy,/work/72154,,,(1989),by Danielle Steel,0.0,(3.49),1.0,1.0
Le Dernier tunnel,/work/19061841,,,,by Érik Canuel,0.0,,1.0,1.0
"Lady Joker, Volume 1",/work/25932475,,,,by Kaoru Takamura,0.0,(4),1.0,1.0
The Lord of the Rings: The Return of the King [2003 film],/work/3989256,The Return of The King,/work/3203356,(1955),by J. R. R. Tolkien,1.0,(4.47),164.0,4.0
The Dreamers [2003 film],/work/9313099,The Holy Innocents,/work/419862,(1988),by Gilbert Adair,0.0,(3.35),3.0,1.0
Mystic River [2003 film],/work/644165,Mystic River,/work/13576,(2001),by Dennis Lehane,0.0,(4.06),3.0,15.0
Big Fish [2003 film],/work/126665,Big Fish: A Novel of Mythic Proportions,/work/191408,,by Daniel Wallace,0.0,(3.52),6.0,1.0
The League of Extraordinary Gentlemen [2003 film],/work/201241,"The League of Extraordinary Gentlemen, Volume 1",/work/7918,(2001),"by Alan Moore, Kevin O'Neill (Illustrator)",1.0,(3.9),55.0,6.0
Master and Commander: The Far Side of the World [2003 film],/work/1393029,Master and Commander,/work/6621,(1969),by Patrick O'Brian,1.0,(3.98),16.0,8.0
Cold Mountain [2003 film],/work/13088798,Cold Mountain,/work/2421,(1997),by Charles Frazier,0.0,(3.82),5.0,20.0
Holes,/work/1638,,,(1998),by Louis Sachar,1.0,(4.07),18.0,33.0
Peter Pan [2003 film],/work/312327,Peter Pan,/work/6252,(1911),by J. M. Barrie,1.0,(3.96),33.0,9.0
Dreamcatcher [2003 film],/work/2034075,Dreamcatcher,/work/6999,(2001),by Stephen King,0.0,(3.33),6.0,2.0
Freaky Friday [2003 film],/work/11400662,Freaky Friday,/work/59888,(1972),by Mary Rodgers,1.0,(3.63),4.0,7.0
Cheaper by the Dozen [2003 film],/work/8196936,Cheaper by the Dozen,/work/33070,(1948),"by Frank B. Gilbreth Jr., Ernestine Gilbreth Carey (Author)",1.0,(4),36.0,2.0
Open Range [2003 film],/work/1335329,Open Range,/work/450701,(1990),by Lauran Paine,0.0,(3.6),1.0,1.0
In the Cut [2003 film],/work/7672304,In the Cut,/work/132896,(2000),by Susanna Moore,0.0,(3.15),6.0,1.0
Timeline [2003 film],/work/2340634,Timeline,/work/8362,(1999),by Michael Crichton,0.0,(3.54),7.0,4.0
Under the Tuscan Sun [2003 film],/work/1165933,Under the Tuscan Sun: At Home in Italy,/work/8196,(1996),by Frances Mayes,1.0,(3.53),1.0,1.0
House of Sand and Fog [2003 Film],/work/17810759,House of Sand and Fog,/work/4323,,by Andre Dubus III,0.0,(3.74),4.0,7.0
The Human Stain,/work/18249,,,(2000),by Philip Roth,1.0,(3.85),5.0,17.0
Runaway Jury [2003 film],/work/11257,The Runaway Jury,/work/3659,(1996),by John Grisham,0.0,(3.66),1.0,4.0
Gods and Generals [2003 film],/work/834880,Gods and Generals,/work/4300,,by Jeff Shaara,1.0,(3.88),7.0,2.0
Young Adam [2003 film],/work/3929113,Young Adam,/work/171336,(1957),by Alexander Trocchi,0.0,(3.84),1.0,1.0
I Capture the Castle [2003 film],/work/6550812,I Capture the Castle,/work/7288,(1948),by Dodie Smith,0.0,(4.11),12.0,8.0
The Statement [2003 film],/work/4738740,The Statement,/work/71596,(1984),by Brian Moore,0.0,(3.62),1.0,1.0
Carandiru [2003 film],/work/9492018,Estação Carandiru,/work/28377,(1999),by Dráuzio Varella,0.0,(4.09),1.0,1.0
How to Deal [2003 film],/work/8508304,Someone Like You,/work/15659,(1998),by Sarah Dessen,0.0,(3.85),1.0,6.0
Good Boy!,/work/5091462,,,,by John Hoffman,0.0,(3.5),1.0,1.0
Hangman's Curse,/work/9802440,,,(2001),by Frank Peretti,1.0,(3.66),18.0,2.0
Strange gardens,/work/214511,,,(2000),by Michel Quint,0.0,(3.85),5.0,1.0
"The Book of Mormon Movie, Volume 1: The Journey",/work/23852816,,,,by Robert C Bowden,0.0,,1.0,1.0
Twist [2003 film],/work/16520133,Oliver Twist,/work/2215,(1838),by Charles Dickens,0.0,(3.83),49.0,16.0
The King Beyond the Gate,/work/11404,,,,by David Gemmell,1.0,(3.83),1.0,1.0
Ao no hono-o,,,,,,,,,
Antikiller 2: Antiterror,,,,,,,,,
Harry Potter and the Chamber of Secrets [2002 film],/work/4046421,Harry Potter and the Chamber of Secrets,/work/683408,(1998),by J. K. Rowling,1.0,(4.17),33.0,28.0
Catch Me If You Can [2002 film],/work/8222671,Catch Me If You Can: The True Story of a Real Fake,/work/53329,(1980),"by Frank W. Abagnale, Redding. Stan (Author)",0.0,(3.8),2.0,1.0
The Ring [2002 American film],/work/232762,Ring,/work/38023,(1991),by Koji Suzuki,1.0,(3.65),5.0,4.0
The Lord of the Rings: The Two Towers [2002 theatrical edition],/work/8232763,The Two Towers,/work/3203350,(1954),by J. R. R. Tolkien,1.0,(4.39),87.0,1.0
Queen of the Damned [2002 film],/work/10690076,The Vampire Lestat,/work/3449,(1985),by Anne Rice,1.0,(3.9),8.0,2.0
Red Dragon [2002 film],/work/1998803,Red Dragon,/work/5882,(1981),by Thomas Harris,1.0,(3.82),5.0,10.0
The Count of Monte Cristo [2002 film],/work/9674356,The Count of Monte Cristo,/work/3728592,(1844),by Alexandre Dumas père,0.0,(4.32),27.0,23.0
The Bourne Identity [2002 film],/work/390628,The Bourne Identity,/work/4805,(1980),by Robert Ludlum,1.0,(3.84),7.0,5.0
Road to Perdition [2002 film],/work/646696,Road to Perdition,/work/935,,"by Max Allan Collins, Richard Piers Rayner (Illustrator)",1.0,(3.64),6.0,1.0
We Were Soldiers [2002 film],/work/1026260,We Were Soldiers Once... and Young: Ia Drang--The Battle That Changed the War in Vietnam,/work/49674,(1993),"by Harold G. Moore, Joseph L. Galloway",0.0,(4.1),1.0,2.0
A Walk to Remember [2002 film],/work/8802778,A Walk to Remember,/work/8405130,(1999),by Nicholas Sparks,0.0,(3.84),2.0,5.0
Treasure Planet [2002 animated film],/work/12462543,Treasure Island [abridged - Classic Starts],/work/7679887,,"by Chris Tait (Adaptor), Lucy Corvino (Illustrator), Robert Louis Stevenson",1.0,(3.82),1.0,1.0
The Sum of All Fears [2002 film],/work/2210561,The Sum of All Fears,/work/24490,(1991),by Tom Clancy,1.0,(3.74),1.0,1.0
The Time Machine [2002 film],/work/11968422,The Time Machine,/work/6954,(1895),"by H. G. Wells, H. G. Wells (Original Author)",0.0,(3.73),10.0,18.0
About a Boy [2002 film],/work/4040269,About a Boy,/work/2314,(1998),by Nick Hornby,0.0,(3.74),5.0,2.0
The Hours [2002 film],/work/645341,The Hours,/work/5163,(1998),by Michael Cunningham,0.0,(3.92),37.0,17.0
Killing Me Softly,/work/171020,,,(1999),by Nicci French,0.0,(3.4),8.0,1.0
The Rules of Attraction [2002 film],/work/13769312,The Rules of Attraction,/work/1698158,(1987),by Bret Easton Ellis,0.0,(3.6),39.0,1.0
Solaris [2002 film],/work/2944198,Solaris,/work/18415,(1961),by Stanisław Lem,0.0,(3.87),8.0,13.0
High Crimes [2002 film],/work/2624163,High Crimes,/work/204458,(1998),by Joseph Finder,0.0,(3.69),3.0,1.0
Tuck Everlasting [2002 film],/work/1980573,Tuck Everlasting,/work/5521,(1975),by Natalie Babbitt,0.0,(3.93),9.0,15.0
About Schmidt [2002 film],/work/2652582,About Schmidt,/work/139769,(1996),by Louis Begley,1.0,(3.07),1.0,2.0
Spider [2002 film],/work/1360926,Spider,/work/128178,(1990),by Patrick McGrath,0.0,(3.8),1.0,1.0
White Oleander [2002 film],/work/7790431,White Oleander,/work/7358,(1999),by Janet Fitch,0.0,(3.88),15.0,3.0
Divine Secrets of the Ya-Ya Sisterhood [2002 film],/work/9914006,Divine Secrets of the Ya-Ya Sisterhood,/work/2478,,by Rebecca Wells,1.0,(3.58),9.0,4.0
Trapped [2002 film],/work/8876142,Trapped,/work/474533,(1989),by Dean Koontz,0.0,(3.52),1.0,1.0
Blood Work [2002 film],/work/611537,Blood Work,/work/47942,(1997),by Michael Connelly,1.0,(3.89),2.0,8.0
Nicholas Nickleby [2002 film],/work/1127355,Nicholas Nickleby,/work/2258,(1839),by Charles Dickens,0.0,(3.93),17.0,8.0
The Four Feathers [2002 film],/work/1053840,The Four Feathers,/work/74173,(1902),by A. E. W. Mason,0.0,(3.71),10.0,1.0
Big Trouble [2002 film],/work/4011120,Big Trouble,/work/870,,by Dave Barry,0.0,(3.61),8.0,3.0
The Quiet American [2002 film],/work/6490373,The Quiet American,/work/10158,(1955),by Graham Greene,0.0,(3.96),5.0,4.0
The Twilight Samurai,/work/6709096,,,,by Yoji Yamada,0.0,(3.63),1.0,1.0
Hart's War [2002 film],/work/9957707,Hart's War,/work/65216,(1999),by John Katzenbach,0.0,(3.91),1.0,1.0
Magic Eye II: Now You See It,/work/33692,,,(1994),by Magic Eye Inc.,1.0,(3.45),1.0,1.0
Ripley's Game [2002 film],/work/6322829,Ripley's Game,/work/126315,(1974),by Patricia Highsmith,1.0,(3.77),5.0,1.0
Possession [2002 film],/work/1978869,Possession: A Romance,/work/2222,(1990),by A.S. Byatt,0.0,(4.02),11.0,23.0
The Crime of Padre Amaro [2003 film],/work/542766,The Crime of Father Amaro,/work/676400,(1875),by José Maria Eça de Queirós,0.0,(4.02),6.0,4.0
When The Last Sword Is Drawn (DVD),/work/6685753,,,,by Yojiro Takita,0.0,(3.83),1.0,1.0
Close Your Eyes [2002 film],/work/10017436,Close Your Eyes,/work/11994162,(2012),"by Iris Johansen, Roy Johansen",1.0,(3.76),2.0,1.0
The Heart of Me [2002 film],/work/6550819,The Echoing Grove,/work/104498,(1953),by Rosamond Lehmann,0.0,(3.54),3.0,3.0
Joshua: One Man Holds the Answer [2002 film],/work/11549201,Joshua: A Parable for Today,/work/36386,(1983),by Joseph F. Girzone,1.0,(3.63),1.0,1.0
The First $20 Million is Always the Hardest [2002 film],/work/25090352,The First $20 Million is Always the Hardest,/work/5983,(1997),by Po Bronson,0.0,(3.62),1.0,1.0
Dracula - Pages from a Virgin's Diary,/work/6504690,,,,by Guy Maddin,0.0,(3.33),1.0,1.0
Charly [1968 film],/work/12034712,Flowers for Algernon,/work/2516333,(1966),by Daniel Keyes,0.0,(4.12),15.0,13.0
Seraphin - Heart of Stone,/work/12286335,,,,by Charles Binamé (Director),0.0,,1.0,1.0
Crazy as Hell - The Craziness Women Do and Guys Love.,/work/24586136,,,,"by Emilio"" ""Boechat",0.0,,1.0,1.0
P.S. your cat is dead!: a novel,/work/30428,,,(1972),by James Kirkwood,0.0,(3.87),1.0,1.0
Tycoon - A New Russian,/work/15887737,,,,by Pavel Lungin,0.0,(2),1.0,1.0
Asesino en serio (dvd),/work/3864384,,,,by Javier Valdés,0.0,,1.0,1.0
Antikiller 2,/work/25224780,,,,by Koreckij D.A. Корецкий Д. А.,0.0,,1.0,1.0
Harry Potter and the Sorcerer's Stone [2001 film],/work/5489524,Harry Potter and the Sorcerer's Stone (Book 1),/work/5403381,,by J. K. Rowling,1.0,(4.29),31.0,70.0
The Lord of the Rings: The Fellowship of the Ring [2001 film],/work/1354927,The Fellowship of the Ring,/work/3203347,(1954),by J. R. R. Tolkien,1.0,(4.37),143.0,7.0
Planet of the Apes [2001 film],/work/1036746,Planet of the Apes,/work/60130,(1963),by Pierre Boulle,1.0,(3.78),9.0,1.0
Legally Blonde [2001 film],/work/107664,Legally Blonde,/work/122409,,by Amanda Brown,0.0,(3.16),1.0,1.0
Hannibal [2001 film],/work/2273354,Hannibal,/work/5797,(1999),by Thomas Harris,1.0,(3.37),15.0,4.0
Black Hawk Down [2001 film],/work/417094,Black Hawk Down: A Story of Modern War,/work/8345,(1999),by Mark Bowden,0.0,(4.19),5.0,7.0
The Princess Diaries [2001 film],/work/1247086,The Princess Diaries,/work/12415,,by Meg Cabot,1.0,(3.67),14.0,11.0
Bridget Jones's Diary [2001 film],/work/681949,Bridget Jones's Diary,/work/761509,(1996),by Helen Fielding,1.0,(3.61),3.0,8.0
Original Sin [2001 film],/work/532569,Waltz into Darkness,/work/121287,(1947),by Cornell Woolrich,0.0,(3.54),1.0,1.0
Along Came a Spider [2001 film],/work/1053789,Along Came a Spider,/work/3350327,,by James Patterson,1.0,(3.71),15.0,4.0
Valentine [2001 film],/work/16683532,Valentine,/work/477016,,by Tom Savage,0.0,(3.65),9.0,1.0
Hearts in Atlantis [2001 film],/work/4093858,Hearts in Atlantis,/work/13428,,by Stephen King,0.0,(3.66),10.0,8.0
Riding in Cars with Boys [2001 film],/work/1053952,Riding in Cars with Boys: Confessions of a Bad Girl Who Makes Good,/work/10268,,by Beverly Donofrio,0.0,(3.59),1.0,2.0
The Tailor of Panama [2001 film],/work/3527510,The Tailor of Panama,/work/3062,(1996),by John le Carré,0.0,(3.38),23.0,2.0
Monkeybone [2001 film],/work/16467206,Dark Town: Book One,/work/21942352,,"by Kaja Blackley, Vanessa Chong (Illustrator)",0.0,,1.0,1.0
The Pledge [2001 film],/work/4415557,The Pledge,/work/227906,(1958),by Friedrich Dürrenmatt,0.0,(4.01),6.0,2.0
Exit Wounds [2001 film],/work/1160892,Exit Wounds,/work/704794,,by John Westermann,1.0,(3),1.0,1.0
Buffalo Soldiers [2001 film],/work/1852259,Buffalo Soldiers,/work/70789,,by Robert O’Connor,0.0,(3.73),1.0,1.0
Someone Like You... [2001 film],/work/11191275,Animal Husbandry,/work/5686,(1998),by Laura Zigman,0.0,(3.21),1.0,1.0
The Shipping News [2001 film],/work/10388053,The Shipping News,/work/3049,(1993),by E. Annie Proulx,0.0,(3.86),19.0,17.0
Charlotte Gray [2001 film],/work/1862059,Charlotte Gray,/work/101904,(1998),by Sebastian Faulks,1.0,(3.53),1.0,3.0
What's the Worst That Could Happen?,/work/118222,,,(1996),by Donald E. Westlake,1.0,(3.96),2.0,1.0
The Deep End [2001 film],/work/16714781,The Blank Wall,/work/1805207,(1947),by Elisabeth Sanxay Holding,0.0,(3.83),5.0,1.0
Last Orders [2001 film],/work/12463658,Last Orders,/work/17994,(1996),by Graham Swift,0.0,(3.59),5.0,6.0
The Body [2001 Film],/work/9564362,The Body: Being Light in Darkness,/work/114918,,by Charles Colson,0.0,(3.84),1.0,5.0
The Caveman's Valentine [2001 film],/work/6459152,The Caveman's Valentine,/work/83865,(1994),by George Dawes Green,0.0,(3.58),2.0,1.0
He Died with a Felafel in His Hand,/work/140751,,,(1994),by John Birmingham,1.0,(3.59),1.0,1.0
The Point Men [2001 film],/work/20628106,"History of the Battle of Point Pleasant (West Virginia) Fought Between White Men & Indians at the Mouth of the Great Kanawha River (Now Point Pleasant, ... The Chief Event of the Lord Dunmores War)",/work/1239366,,by Virgil A. Lewis,0.0,,1.0,1.0
Pavillion of Women,/work/71632,,,(1946),by Pearl S. Buck,0.0,(3.88),1.0,2.0
American Psycho [2000 film],/work/847865,American Psycho,/work/7135,(1991),by Bret Easton Ellis,0.0,(3.71),69.0,12.0
